State   Total Population      Child Population    Child Poverty Population      % Child Poverty     
-----   ----------------      ----------------    ------------------------      ---------------     
01      4833722               814377              205023                        25.17544            
02      735132                132740              16118                         12.142534           
04      8688149               1182931             288777                        24.41199            
05      2959373               516950              132920                        25.71235            
06      48909205              6667268             1468715                       22.028738           
08      5268367               902796              139381                        15.438814           
09      3747676               593629              77895                         13.121832           
10      925749                147239              25169                         17.093975           
11      646449                70507               20544                         29.137533           
12      19552860              2948361             678022                        22.996572           
13      10010465              1821201             445608                        24.46781            
15      1404054               216496              29375                         13.56838            
16      1612136               314294              56633                         18.019115           
17      17704060              2224288             427235                        19.20772            
18      6570099               1165146             226599                        19.44812            
19      3090416               529306              77634                         14.6671295          
20      2893957               523686              84325                         16.102207           
21      4405846               739127              171418                        23.191954           
22      4625470               804740              212904                        26.456245           
23      1358717               196262              31174                         15.883869           
24      5928814               977312              120049                        12.28359            
25      7107877               1028400             153286                        14.905291           
26      9895622               1672433             351702                        21.029362           
27      5420550               931542              119437                        12.82143            
28      2991207               539006              170629                        31.656233           
29      6044171               1020848             203216                        19.906588           
30      1913094               162709              30655                         18.840385           
31      1868516               334188              49030                         14.671382           
32      2790136               483411              99599                         20.60338            
33      1472055               205461              19714                         9.595008            
34      10552547              1488882             222992                        14.977143           
35      2085287               368816              103790                        28.141403           
36      19901043              3066336             666553                        21.737768           
37      9848060               1673310             386419                        23.09309            
38      723393                113921              12685                         11.134909           
39      11570743              1958998             398688                        20.35163            
40      3851487               682548              144867                        21.224442           
41      3931430               627584              118023                        18.80593            
42      12773801              1999741             342181                        17.111265           
44      1065907               159355              31368                         19.684353           
45      4790785               787482              194639                        24.716629           
46      844877                148002              24675                         16.672071           
47      6778703               1091900             260103                        23.821138           
48      26452422              5101161             1198322                       23.491161           
49      2900872               642722              85745                         13.340916           
50      940840                92223               11990                         13.001095           
51      8260405               1352420             190734                        14.103164           
53      6971406               1151175             197126                        17.123896           
54      1854304               279484              64539                         23.092197           
55      5956920               963445              157356                        16.33264            
56      580850                99034               11684                         11.797968           
